CaseID,CreationTimestamp,Department,Category,Type,Detail,StreetAddress,Neighborhood,County,ZipCode,Latitude,Longitude,Status,ClosedDate,ExceededEstimatedTimeframe
C2019207923,2019-12-22T19:56:00Z,Public Works,Streets / Roadways / Alleys,Crack,District 1,10329 N Forest Ave,New Mark,Clay,64155.0,39.28196,-94.564453,RESOL,2020-06-26,Y
C2020054721,2020-04-18T17:10:00Z,Parks and Rec,Parks & Recreation,Park Maintenance,Central,400 W 31st St,Westside South,Jackson,64108.0,39.074934,-94.591904,RESOL,2020-04-30,N
C2019182182,2019-10-21T10:29:00Z,NHS,Property / Buildings / Construction,Dangerous Building,Standard,4043 Kenwood Ave,South Hyde Park,Jackson,64110.0,39.052983,-94.577808,RESOL,2020-08-03,Y
C2019184705,2019-10-25T10:02:00Z,NHS,Trash / Recycling,Recycling,Missed by City,637 E 62nd St,Western 49-63,Jackson,64110.0,39.01416,-94.579673,RESOL,2019-10-28,N
C2019184590,2019-10-25T04:44:00Z,Parks and Rec,Trees,Trimming,Tree Limbs,10901 Blue Ridge Blvd,Ruskin Heights,Jackson,64134.0,38.924085,-94.507192,RESOL,2019-12-04,Y
C2020021142,2020-02-11T15:37:00Z,Water Services,Water,Leak,Meter,5300 N Walnut St,Davidson,Clay,64118.0,39.190598,-94.579955,RESOL,2020-02-12,N
C2019208956,2019-12-24T22:04:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9116 N Glenwood Ave,Shoal Creek,Clay,64157.0,39.258023,-94.46298,RESOL,2020-01-07,N
C2019208957,2019-12-24T22:05:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9115 N Evanston Ave,Shoal Creek,Clay,64157.0,39.259671,-94.459219,RESOL,2020-01-07,N
C2019208975,2019-12-25T19:28:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9004 N Oxford Ave,Shoal Creek,Clay,64157.0,39.255751,-94.464484,RESOL,2020-01-07,N
C2019208976,2019-12-25T20:41:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9105 N Oxford Ave,Shoal Creek,Clay,64157.0,39.257559,-94.463774,RESOL,2020-01-07,N
C2019208977,2019-12-25T20:41:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9109 N Oxford Ave,Shoal Creek,Clay,64157.0,39.257804,-94.463811,RESOL,2020-01-07,N
C2019208978,2019-12-25T20:42:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9116 N Oxford Ave,Shoal Creek,Clay,64157.0,39.258311,-94.464442,RESOL,2020-01-07,N
C2019208979,2019-12-25T20:42:00Z,Public Works,Lights / Signals,Street Light,5+ Lights Out,9112 N Oxford Ave,Shoal Creek,Clay,64157.0,39.258074,-94.464448,RESOL,2020-01-07,N
C2020082884,2020-06-15T16:03:00Z,NHS,Property / Buildings / Construction,Dangerous Building,Open To Entry,1230 Bennington Ave,East Blue Valley,Jackson,64126.0,39.096142,-94.505744,RESOL,2020-06-26,Y
C2020086645,2020-06-23T13:13:00Z,Public Works,Sidewalks / Curbs / Ditch,Ditch,North,3726 NE 43rd St,Chaumiere,Clay,64117.0,39.171707,-94.535537,RESOL,2020-06-26,N
C2020149657,2020-11-25T16:52:00Z,NHS,Animals / Pets,Cruelty or Neglect,Abuse / Injury / Death,8500 N Evanston Ave,Shoal Creek,Clay,64157.0,39.247542,-94.459818,RESOL,2020-11-28,N
C2020149641,2020-11-25T16:20:00Z,NHS,Trash / Recycling,Recycling,Missed by City,2318 Monitor Pl,Westside South,Jackson,64108.0,39.084989,-94.595672,RESOL,2020-11-27,N
C2020149639,2020-11-25T16:19:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,3435 Benton Blvd,Oak Park Northwest,Jackson,64128.0,39.063054,-94.545886,RESOL,2020-11-28,Y
C2020087110,2020-06-24T10:32:00Z,NHS,Trash / Recycling,Dumping,Solid Waste Referral,9601 N Platte Purchase Dr,KCI & 2nd Creek,Platte,64154.0,39.271283,-94.60143,RESOL,2020-06-29,N
C2020149676,2020-11-25T18:38:00Z,Water Services,Storm Water / Sewer,Sewer Backup / Leak,In A House,6707 E 100th Ter,Fairlane,Jackson,64134.0,38.942593,-94.511208,RESOL,2020-11-30,N
